src,dst,comm
0,7,9
1,8,7
2,63,2
2,5,1
2,8,8
3,57,6
4,41,6
4,6,6
4,60,9
5,23,4
5,56,9
5,22,2
6,59,8
7,16,9
7,10,6
8,35,7
8,13,10
8,47,4
9,53,8
9,22,3
9,18,5
10,23,3
10,37,8
11,45,7
11,15,9
12,23,3
12,43,10
13,25,4
13,55,6
14,37,4
14,36,4
14,31,5
14,49,3
15,34,8
15,67,8
16,54,1
16,19,10
16,48,7
16,40,5
17,66,4
18,55,2
19,44,6
19,67,8
19,34,6
19,25,2
20,48,9
21,59,3
21,33,10
21,34,4
21,25,4
22,48,3
22,58,5
22,32,9
22,38,1
23,54,8
23,67,9
23,53,5
24,60,10
24,64,5
24,31,7
24,26,9
25,57,6
25,33,7
26,51,4
26,46,7
26,65,1
27,28,7
27,57,9
27,61,1
27,32,10
28,60,10
29,48,4
30,47,5
30,36,6
30,48,1
31,33,8
31,37,4
32,37,2
32,58,2
32,47,7
32,57,1
33,41,8
33,43,6
34,38,4
34,54,1
34,55,7
35,46,9
36,40,6
36,52,3
36,69,5
36,53,2
37,52,5
37,68,10
38,63,10
38,62,1
39,69,7
40,67,4
41,51,6
41,53,5
41,63,8
42,69,5
42,50,10
42,59,4
42,56,4
43,69,3
44,46,7
44,52,2
44,68,1
45,48,2
46,57,9
46,52,3
46,65,4
47,48,3
48,65,5
48,53,3
49,52,6
49,50,5
50,62,2
50,67,4
50,63,4
50,68,4
51,62,5
52,56,8
52,69,10
53,58,4
53,65,5
53,57,8
53,63,8
54,65,8
55,68,3
55,69,2
55,57,7
55,65,8
56,59,1
56,61,2
56,67,7
57,64,4
58,69,9
58,65,2
58,59,9
59,68,4
59,65,4
60,64,2
60,67,10
60,66,5
61,65,7
61,66,4
61,64,7
61,63,2
62,68,6
62,63,1
62,64,10
62,67,5
63,69,8
63,66,4
63,64,7
64,69,4
64,67,2
64,66,7
64,65,7
65,67,6
65,68,10
66,67,1
66,68,5
66,69,6
67,69,5
67,68,7
68,69,6
