src,dst,comm
0,13,9
0,18,6
1,29,10
1,30,6
1,51,5
1,14,2
2,63,1
2,88,8
2,22,1
3,65,9
4,86,5
4,67,10
4,14,3
4,27,3
5,73,7
5,55,6
5,20,6
6,14,4
6,16,10
6,58,2
6,15,6
7,18,8
8,52,7
9,46,4
9,48,3
10,70,9
10,71,7
10,61,6
10,48,3
11,80,9
11,54,5
11,84,9
11,32,3
12,59,4
12,84,4
13,18,2
13,85,2
13,32,1
13,20,5
14,81,6
14,63,3
15,64,9
16,65,1
17,79,5
17,46,5
18,84,3
18,69,9
18,38,8
18,73,5
19,36,6
19,61,2
19,57,2
20,68,7
20,77,10
20,22,7
20,35,5
21,57,5
21,39,3
21,80,6
21,38,8
22,74,1
22,37,2
22,78,8
23,61,6
23,78,6
23,68,10
24,77,3
25,46,2
25,43,5
25,54,10
25,71,5
26,82,4
26,27,10
27,36,1
27,38,5
27,82,2
28,58,10
28,43,6
28,53,4
28,86,9
29,75,10
29,82,5
30,45,7
30,37,5
31,53,10
32,65,8
32,55,1
32,40,6
33,61,4
33,84,2
33,39,2
34,80,10
34,53,7
34,67,7
35,66,8
35,86,9
36,72,5
36,56,8
37,56,8
37,50,2
37,43,1
38,89,3
38,47,10
38,86,6
39,73,4
39,87,6
39,55,7
40,89,9
40,62,7
40,66,9
40,83,3
41,70,9
41,73,6
42,43,9
42,58,4
42,87,4
42,69,10
43,83,2
44,74,3
45,79,5
46,74,5
46,85,10
47,87,5
47,80,10
47,82,2
48,58,9
48,84,1
48,49,9
49,80,1
49,68,8
50,74,8
50,80,7
51,53,6
51,62,8
51,73,5
51,70,6
52,87,5
52,55,9
52,78,9
53,88,2
53,65,6
53,57,1
54,63,6
54,88,7
54,71,10
54,60,10
55,56,5
55,70,3
55,68,4
55,84,10
56,66,5
56,83,7
56,67,6
56,76,10
57,84,5
57,82,9
57,79,6
57,62,9
58,80,10
59,76,8
60,73,5
61,73,9
61,63,1
62,86,6
62,73,2
63,65,3
63,86,7
63,68,8
64,68,3
65,80,4
65,71,9
65,88,4
66,73,4
67,68,10
67,82,9
67,73,3
67,72,1
68,82,9
68,89,2
68,70,8
68,88,6
69,71,7
69,83,3
69,82,5
70,85,6
70,77,2
71,87,5
71,76,4
71,80,8
71,83,7
72,75,1
72,79,1
72,80,10
72,85,8
73,89,7
73,75,2
74,89,10
74,85,2
74,75,10
75,80,4
75,86,10
75,83,5
75,82,8
76,89,9
76,82,8
77,83,7
78,86,6
78,89,5
79,87,10
79,85,7
80,85,9
80,83,1
80,89,5
81,88,4
81,82,8
81,89,8
81,86,10
82,86,3
82,84,1
82,88,2
83,87,9
83,88,7
83,84,5
84,85,1
84,88,8
84,89,7
84,87,5
85,89,4
85,88,6
86,88,3
86,87,9
86,89,3
87,89,8
87,88,2
88,89,4
