task,cost
0,18.4
1,42.17
2,11.09
3,8.61
4,21.46
5,26.38
6,33.13
7,17.79
8,55.55
9,37.88
10,24.59
11,17.71
12,46.61
13,38.09
14,37.52
15,43.63
16,21.18
17,28.49
18,49.79
19,37.28
20,58.73
21,34.3
22,53.12
23,14.58
24,19.3
25,23.71
26,39.21
27,37.97
28,37.97
29,24.86
30,20.69
31,44.59
32,18.02
33,41.08
34,38.88
35,16.08
36,29.0
37,58.59
38,14.21
39,25.29
40,11.55
41,23.86
42,15.27
43,46.39
44,26.81
45,49.43
46,38.32
47,11.62
48,26.64
49,29.15
50,25.07
51,37.94
52,35.71
53,25.14
54,12.13
55,40.73
56,35.04
57,22.02
58,38.03
59,28.82
60,22.55
61,11.22
62,39.91
63,13.45
64,29.6
65,21.69
66,17.12
67,52.47
68,30.04
69,9.15
70,14.51
71,45.38
72,27.99
73,13.4
74,51.94
75,41.88
76,44.29
77,29.6
78,41.85
79,25.53
80,41.11
81,56.36
82,52.76
83,42.2
84,33.57
85,18.5
86,12.72
87,17.63
88,19.11
89,41.71
