task,cost
0,29.22
1,29.77
2,51.59
3,34.39
4,43.32
5,27.48
6,22.29
7,25.05
8,26.19
9,53.18
10,10.59
11,30.4
12,13.06
13,42.81
14,38.09
15,23.68
16,42.24
17,17.33
18,19.65
19,23.89
20,13.97
21,20.74
22,44.93
23,33.85
24,41.35
25,32.8
26,54.52
27,17.72
28,34.78
29,27.17
30,16.06
31,15.73
32,34.42
33,37.57
34,43.24
35,18.33
36,25.4
37,40.06
38,31.33
39,25.4
40,51.82
41,27.1
42,11.25
43,29.14
44,12.0
45,25.15
46,14.04
47,51.34
48,25.5
49,22.89
50,12.69
51,37.92
52,30.37
53,42.01
54,22.98
55,46.35
56,16.74
57,32.37
58,22.68
59,55.15
60,27.55
61,34.24
62,53.2
63,42.16
64,24.28
65,30.93
66,16.81
67,37.91
68,17.62
69,31.24
70,16.51
71,11.49
72,30.86
73,15.33
74,34.98
75,32.79
76,26.8
77,37.36
78,18.41
79,43.2
80,13.26
81,56.16
82,31.25
83,32.76
84,30.29
85,15.6
86,8.65
87,11.42
88,50.16
89,49.57
