task,cost
0,45.07
1,60.7
2,22.75
3,30.91
4,29.08
5,47.51
6,9.36
7,28.11
8,37.17
9,19.39
10,19.59
11,32.2
12,13.68
13,22.73
14,47.5
15,15.42
16,32.5
17,15.33
18,22.26
19,32.14
20,14.85
21,33.73
22,36.47
23,30.47
24,44.14
25,21.36
26,42.05
27,25.21
28,27.01
29,31.45
30,40.52
31,54.98
32,40.41
33,57.2
34,24.49
35,26.71
36,34.87
37,14.53
38,15.62
39,48.81
40,42.04
41,25.06
42,25.88
43,45.01
44,28.33
45,34.16
46,36.7
47,30.94
48,19.35
49,44.92
50,17.35
51,14.79
52,47.63
53,8.55
54,36.16
55,40.18
56,33.83
57,33.32
58,48.39
59,13.23
60,22.98
61,15.26
62,40.45
63,16.8
64,32.25
65,38.48
66,39.67
67,33.46
68,34.0
69,32.99
70,28.24
71,41.85
72,32.62
73,22.3
74,27.98
75,43.53
76,17.38
77,34.32
78,14.82
79,41.52
