task,cost
0,23.62
1,26.93
2,20.6
3,34.79
4,25.57
5,12.95
6,36.73
7,17.57
8,21.46
9,37.8
10,42.61
11,51.09
12,44.01
13,35.15
14,54.96
15,44.41
16,21.18
17,11.58
18,35.82
19,13.58
20,14.41
21,10.29
22,25.42
23,39.49
24,28.5
25,12.07
26,35.76
27,9.52
28,10.03
29,8.88
30,27.09
31,17.77
32,32.2
33,30.48
34,25.94
35,51.3
36,23.6
37,11.33
38,20.61
39,23.53
40,50.5
41,30.93
42,28.57
43,35.67
44,25.12
45,22.46
46,28.86
47,17.06
48,50.32
49,55.68
50,35.91
51,25.93
52,47.86
53,19.36
54,21.56
55,24.74
56,24.45
57,45.44
58,45.96
59,25.78
60,11.3
61,15.51
62,8.5
63,27.62
64,42.45
65,19.82
66,23.56
67,22.11
68,40.19
69,39.39
70,53.59
71,44.88
72,35.81
73,27.93
74,19.1
75,22.34
76,47.38
77,20.14
78,32.82
79,28.6
