task,cost
0,16.25
1,11.86
2,35.23
3,21.26
4,7.65
5,59.03
6,55.64
7,9.17
8,37.72
9,15.58
10,14.81
11,38.52
12,38.05
13,23.49
14,21.66
15,50.15
16,31.63
17,45.86
18,34.94
19,23.59
20,47.97
21,34.73
22,33.67
23,18.49
24,51.08
25,36.74
26,36.02
27,35.9
28,17.41
29,21.77
30,35.34
31,41.76
32,14.0
33,21.7
34,14.16
35,20.94
36,29.37
37,50.03
38,40.31
39,50.36
40,41.45
41,48.84
42,27.44
43,40.72
44,12.39
45,16.7
46,20.89
47,23.07
48,33.91
49,19.24
50,20.75
51,8.87
52,41.04
53,22.26
54,33.27
55,9.13
56,54.47
57,38.71
58,30.9
59,31.04
