task,cost
0,28.02
1,18.0
2,40.4
3,34.15
4,17.97
5,17.55
6,29.74
7,34.21
8,33.41
9,31.31
10,50.85
11,20.6
12,51.14
13,26.62
14,11.74
15,52.19
16,22.66
17,30.76
18,32.27
19,34.41
20,14.45
21,36.76
22,28.31
23,11.94
24,57.32
25,21.53
26,22.18
27,17.44
28,23.55
29,38.54
30,35.71
31,21.68
32,17.3
33,40.34
34,18.73
35,33.74
36,16.62
37,24.54
38,14.38
39,51.79
40,37.79
41,24.3
42,31.79
43,30.17
44,15.76
45,18.37
46,50.24
47,31.91
48,21.95
49,16.94
50,52.02
51,34.99
52,46.94
53,13.88
54,42.14
55,35.81
56,22.39
57,7.96
58,43.98
59,11.03
60,26.75
61,39.45
62,10.92
63,17.13
64,25.7
65,40.98
66,31.64
67,34.8
68,43.03
69,40.24
70,50.09
71,37.77
72,53.79
73,11.16
74,12.86
75,27.68
76,20.39
77,31.69
78,30.21
79,27.61
80,15.19
81,35.16
82,52.85
83,22.89
84,38.5
85,31.98
86,27.09
87,47.6
88,11.24
89,31.62
