src,dst,comm
0,50,2
0,59,1
0,15,2
0,33,7
1,18,7
1,51,4
1,12,8
2,17,4
2,27,5
3,52,7
4,12,8
4,49,1
5,34,2
5,6,10
5,45,7
5,9,8
6,31,5
7,38,1
8,27,8
8,13,2
8,41,9
9,37,9
10,55,4
10,37,7
11,30,5
11,55,9
11,35,1
11,15,2
12,39,7
12,42,9
12,17,7
12,38,2
13,48,10
14,55,4
14,29,2
14,47,2
15,59,3
16,58,1
16,50,10
16,40,8
16,39,7
17,28,3
17,31,3
17,41,8
17,55,8
18,50,9
19,59,2
19,56,4
19,48,5
19,53,7
20,39,9
20,59,7
20,33,6
20,23,10
21,25,1
22,49,10
22,52,6
23,26,9
23,47,3
23,29,5
23,54,5
24,25,10
24,48,10
24,32,8
24,56,2
25,50,7
26,53,9
26,30,10
27,40,10
27,37,7
27,55,6
28,43,2
28,46,3
29,40,3
29,31,7
30,31,8
31,40,1
31,48,3
31,35,10
31,34,9
32,55,10
33,58,10
34,56,1
34,37,3
34,49,8
35,45,7
35,40,1
35,58,8
36,47,5
37,45,1
37,51,4
37,46,3
38,41,4
38,58,2
39,49,7
40,56,7
40,43,6
40,52,5
41,51,1
41,49,8
42,51,5
42,58,4
42,54,5
43,53,4
43,51,8
44,45,9
44,49,6
45,53,8
45,59,7
45,55,9
45,46,3
46,47,7
46,51,7
47,57,10
48,51,2
48,50,8
48,56,9
48,55,7
49,57,2
49,50,6
50,56,6
50,52,6
51,53,7
51,56,9
52,58,9
52,56,4
52,59,7
53,55,4
53,54,8
54,55,6
54,58,8
54,57,2
54,59,8
55,58,9
55,57,1
55,59,3
55,56,3
56,59,6
56,57,5
56,58,1
57,58,1
57,59,5
58,59,6
