task,cost
0,19.58
1,39.76
2,24.49
3,14.98
4,43.22
5,53.09
6,36.66
7,45.57
8,12.58
9,55.77
10,24.81
11,33.21
12,31.58
13,37.44
14,18.49
15,25.29
16,40.47
17,11.07
18,37.55
19,10.05
20,46.39
21,15.76
22,12.45
23,23.97
24,16.45
25,42.44
26,35.67
27,40.2
28,25.12
29,15.29
30,33.29
31,13.7
32,41.21
33,34.32
34,59.81
35,15.7
36,23.07
37,33.92
38,22.44
39,37.75
40,33.21
41,26.79
42,18.68
43,20.92
44,35.85
45,56.75
46,36.04
47,31.66
48,55.11
49,25.05
50,18.73
51,50.57
52,25.55
53,32.89
54,46.86
55,47.9
56,14.47
57,36.92
58,25.6
59,35.56
60,8.79
61,26.5
62,15.87
63,11.87
64,22.26
65,48.8
66,34.04
67,31.83
68,48.08
69,42.5
70,40.58
71,31.67
72,12.53
73,25.81
74,50.7
75,42.75
76,42.66
77,15.91
78,38.32
79,32.2
