task,cost
0,26.7
1,23.42
2,28.13
3,38.65
4,17.82
5,23.3
6,44.57
7,24.38
8,19.84
9,20.22
10,16.21
11,23.44
12,49.08
13,37.91
14,41.02
15,28.26
16,27.11
17,49.84
18,50.0
19,14.58
20,27.8
21,39.75
22,33.02
23,32.36
24,53.57
25,41.07
26,29.55
27,22.8
28,14.27
29,31.84
30,24.33
31,35.2
32,28.74
33,21.47
34,44.88
35,46.26
36,22.74
37,37.85
38,33.07
39,21.58
40,18.74
41,40.2
42,53.63
43,16.28
44,17.23
45,42.24
46,34.73
47,39.39
48,51.65
49,40.06
50,25.1
51,30.22
52,57.05
53,37.45
54,19.37
55,7.79
56,22.55
57,13.79
58,15.84
59,24.94
