src,dst,comm
0,33,9
0,36,6
0,12,10
0,15,4
1,14,5
2,10,10
3,24,5
4,9,3
5,10,2
6,37,9
7,36,3
7,23,3
7,21,3
7,18,5
8,11,9
8,28,1
8,31,10
8,33,5
9,18,3
9,29,6
9,21,9
9,14,8
10,37,8
10,18,2
11,20,9
11,24,1
11,36,4
12,28,5
12,39,6
13,21,7
13,36,7
14,23,10
15,28,7
16,37,7
16,27,6
17,26,9
18,38,9
18,28,6
18,39,4
19,24,9
19,33,3
19,23,1
19,32,7
20,35,5
20,38,5
20,23,9
20,21,8
21,29,10
21,25,2
22,28,8
22,23,6
23,30,1
23,35,4
23,26,9
24,28,8
24,32,4
24,25,5
24,30,9
25,39,5
25,38,1
26,34,6
27,35,6
27,28,7
27,39,8
27,30,2
28,34,2
28,33,10
28,29,5
29,37,5
30,34,10
30,31,2
31,37,4
31,32,6
31,34,3
31,39,4
32,37,9
32,39,8
32,33,8
33,37,10
34,39,9
35,37,3
36,39,6
36,37,7
36,38,5
37,39,8
37,38,6
38,39,1
