src,dst,comm
0,15,2
0,19,9
0,9,3
1,11,8
1,12,8
2,7,3
3,9,4
3,6,4
4,10,4
4,5,1
5,6,3
5,28,10
5,27,6
5,19,9
6,10,4
6,12,8
6,8,6
6,27,10
7,27,10
8,12,7
8,25,4
8,19,1
9,12,6
9,25,2
9,15,9
10,23,9
10,13,9
10,15,4
10,12,9
11,23,5
12,16,1
12,26,8
13,14,6
14,22,6
14,17,9
14,25,1
14,29,6
15,17,9
15,28,10
16,25,5
16,21,2
16,19,2
16,29,7
17,19,10
18,23,5
19,26,2
19,23,4
19,21,9
19,20,10
20,23,2
20,24,1
20,25,2
21,24,7
22,29,6
22,27,7
23,27,9
23,29,9
24,28,4
24,26,6
24,29,7
24,25,6
25,27,4
25,26,3
25,28,3
26,29,8
27,28,7
27,29,7
28,29,10
