task,cost
0,27.53
1,31.49
2,34.06
3,17.17
4,23.34
5,28.74
6,40.59
7,37.22
8,39.24
9,11.19
10,37.62
11,28.93
12,29.9
13,27.21
14,34.01
15,21.19
16,18.47
17,34.36
18,30.88
19,45.96
20,41.79
21,15.81
22,40.92
23,24.79
24,30.19
25,33.48
26,47.64
27,13.12
28,14.01
29,27.63
30,15.55
31,34.62
32,41.87
33,51.21
34,27.28
35,50.8
36,51.57
37,30.29
38,45.07
39,29.71
40,39.83
41,11.49
42,11.94
43,39.63
44,31.46
45,26.85
46,13.82
47,21.35
48,38.59
49,50.94
50,28.68
51,15.04
52,33.79
53,40.76
54,30.48
55,44.97
56,15.98
57,13.58
58,23.49
59,29.63
60,20.35
61,24.35
62,53.24
63,20.42
64,38.59
65,16.17
66,27.61
67,50.03
68,49.07
69,25.39
70,25.63
71,16.57
72,21.16
73,23.37
74,50.16
75,61.34
76,31.62
77,33.87
78,24.47
79,40.01
80,31.86
81,18.08
82,24.42
83,50.58
84,17.61
85,15.67
86,34.23
87,11.95
88,47.99
89,13.94
90,17.43
91,26.48
92,27.53
93,37.69
94,21.47
95,36.86
96,21.98
97,19.45
98,33.36
99,25.03
