task,cost
0,32.16
1,35.15
2,28.35
3,39.45
4,50.53
5,20.15
6,42.36
7,49.1
8,26.75
9,19.57
10,21.55
11,22.21
12,31.94
13,25.96
14,14.08
15,25.11
16,35.89
17,10.67
18,17.8
19,32.1
20,15.69
21,26.43
22,39.94
23,56.27
24,58.59
25,39.89
26,20.33
27,21.7
28,20.0
29,20.69
30,21.38
31,34.98
32,38.87
33,24.43
34,14.47
35,22.56
36,29.38
37,28.56
38,45.69
39,31.13
40,46.75
41,27.56
42,30.29
43,45.79
44,51.48
45,43.0
46,50.67
47,52.01
48,19.22
49,38.88
50,30.16
51,40.9
52,20.89
53,32.64
54,8.2
55,21.08
56,32.37
57,10.65
58,10.7
59,11.09
60,46.2
61,23.3
62,50.35
63,23.3
64,12.94
65,47.13
66,24.16
67,36.88
68,21.25
69,33.01
70,38.26
71,39.57
72,39.58
73,22.14
74,34.76
75,17.16
76,36.16
77,44.29
78,24.07
79,39.49
