task,cost
0,8.6
1,13.83
2,54.48
3,8.74
4,21.07
5,13.62
6,23.58
7,27.8
8,24.05
9,50.82
10,36.36
11,26.21
12,27.25
13,34.77
14,27.44
15,35.5
16,10.72
17,33.97
18,14.84
19,22.27
20,51.94
21,29.92
22,19.61
23,30.67
24,51.92
25,29.88
26,34.16
27,33.6
28,24.14
29,20.32
30,22.16
31,32.46
32,21.52
33,12.54
34,51.11
35,45.14
36,33.56
37,23.9
38,56.36
39,54.86
40,17.96
41,47.84
42,43.99
43,55.6
44,49.27
45,24.25
46,40.42
47,16.83
48,13.21
49,45.31
50,48.34
51,24.05
52,9.09
53,29.54
54,7.7
55,20.16
56,39.85
57,21.18
58,52.76
59,18.14
60,27.69
61,20.01
62,13.58
63,25.53
64,48.0
65,16.85
66,35.62
67,36.25
68,31.2
69,41.82
70,22.06
71,11.36
72,34.12
73,31.14
74,25.8
75,36.55
76,32.93
77,30.78
78,42.16
79,40.5
80,12.0
81,21.04
82,26.13
83,32.23
84,36.93
85,31.54
86,40.07
87,48.84
88,38.3
89,9.3
