src,dst,comm
0,18,10
0,77,2
0,79,7
0,20,3
1,84,6
1,31,2
2,57,2
2,76,1
3,23,10
4,27,7
4,47,2
4,56,7
4,22,10
5,13,10
6,65,5
6,87,1
7,93,5
7,21,8
7,56,1
8,63,8
8,93,9
9,30,9
10,16,8
11,61,8
11,12,6
12,84,4
12,23,5
12,51,3
12,41,10
13,55,3
13,36,6
14,52,3
15,36,10
16,39,6
17,72,7
17,88,9
17,43,3
18,48,8
18,37,5
19,62,9
19,61,6
19,23,3
20,79,7
20,34,6
20,59,6
21,79,10
22,60,7
23,26,1
24,84,3
24,99,1
25,42,10
25,69,3
25,54,5
26,55,9
26,94,10
26,44,8
27,58,3
27,55,7
27,68,1
27,80,3
28,71,9
28,72,8
29,82,4
29,55,4
30,63,1
30,79,3
30,51,1
31,59,9
31,93,7
31,51,4
31,64,1
32,66,3
32,48,4
32,86,6
33,96,10
33,79,5
34,40,3
34,91,10
34,56,2
35,61,7
35,58,9
35,54,3
36,70,3
37,81,5
37,50,5
37,88,9
37,75,10
38,54,7
38,58,7
38,44,7
38,55,5
39,66,4
39,48,9
40,71,3
40,42,7
40,99,5
40,64,1
41,44,2
41,79,1
41,92,4
41,83,4
42,78,8
42,49,5
43,80,1
44,60,5
44,83,9
44,81,6
44,57,10
45,49,8
45,98,4
45,96,6
46,78,1
46,55,7
46,96,3
46,80,5
47,80,9
47,81,1
47,60,7
47,93,2
48,72,9
49,51,10
49,82,9
50,97,2
50,91,9
50,65,9
51,69,2
51,73,7
51,58,6
51,72,5
52,86,4
52,94,3
52,93,8
53,68,3
53,82,3
53,66,7
53,65,10
54,60,2
54,59,5
55,87,6
56,84,3
56,97,1
56,85,6
57,71,8
58,87,6
58,69,3
58,59,7
59,91,1
59,93,5
59,79,8
59,72,6
60,92,10
61,74,3
61,81,9
61,94,9
61,89,2
62,64,4
63,87,6
63,97,4
63,90,8
63,81,10
64,81,3
64,87,7
65,99,4
65,66,8
65,82,4
65,87,10
66,95,6
66,68,2
67,81,3
67,90,4
67,98,6
68,74,4
68,94,1
69,94,6
69,77,10
69,84,7
69,80,5
70,98,7
71,92,2
71,96,9
71,91,9
71,84,6
72,93,6
72,92,5
73,88,4
73,98,9
74,99,1
74,87,4
74,91,5
75,92,1
76,98,5
76,99,2
76,83,1
77,86,7
78,81,3
78,98,10
78,91,5
78,90,6
79,84,6
79,86,3
79,91,9
79,99,1
80,99,1
80,82,4
80,96,5
81,91,3
82,98,5
82,84,9
83,87,10
84,93,10
84,96,3
85,97,9
86,94,4
86,89,9
86,99,4
86,97,4
87,91,8
87,92,3
87,94,5
87,89,8
88,90,4
88,96,7
88,93,3
88,99,3
89,93,9
89,92,8
89,98,7
89,91,4
90,97,5
90,93,5
91,92,4
91,93,10
92,98,4
93,95,8
93,98,8
93,94,8
94,98,7
95,98,1
95,96,6
96,98,9
96,99,6
96,97,10
97,99,3
98,99,1
