task,cost
0,47.51
1,48.34
2,36.19
3,44.95
4,41.51
5,13.11
6,45.65
7,38.71
8,32.96
9,35.27
10,54.95
11,34.18
12,42.8
13,44.66
14,11.88
15,38.72
16,34.0
17,26.9
18,17.39
19,40.5
20,33.93
21,17.35
22,17.41
23,52.71
24,37.2
25,28.56
26,30.84
27,14.65
28,22.04
29,30.14
30,26.73
31,16.66
32,19.95
33,12.86
34,37.43
35,49.59
36,27.04
37,35.57
38,8.57
39,23.71
40,31.59
41,19.81
42,15.83
43,25.16
44,46.67
45,20.86
46,47.65
47,49.32
48,31.83
49,35.33
50,16.04
51,23.36
52,16.33
53,44.87
54,27.68
55,47.71
56,22.48
57,37.6
58,32.41
59,25.86
60,13.32
61,40.57
62,55.95
63,13.19
64,28.23
65,53.79
66,23.18
67,39.88
68,12.86
69,28.56
