task,cost
0,26.0
1,53.46
2,37.13
3,33.72
4,13.47
5,25.63
6,39.7
7,52.45
8,9.03
9,28.6
10,46.84
11,31.14
12,12.05
13,17.9
14,47.82
15,22.28
16,50.55
17,12.3
18,37.83
19,14.36
20,49.89
21,12.45
22,22.83
23,39.11
24,53.7
25,19.67
26,41.19
27,55.15
28,31.85
29,36.09
30,38.12
31,42.21
32,25.06
33,43.05
34,14.33
35,28.07
36,11.27
37,54.82
38,43.93
39,47.87
40,14.43
41,33.88
42,24.38
43,33.05
44,54.09
45,48.31
46,30.12
47,24.55
48,13.4
49,32.57
50,15.49
51,47.04
52,48.17
53,35.01
54,40.53
55,31.56
56,12.27
57,31.1
58,16.99
59,7.64
60,21.62
61,27.0
62,38.25
63,35.78
64,43.41
65,15.86
66,38.61
67,37.35
68,42.7
69,21.72
70,53.18
71,30.14
72,46.54
73,17.78
74,28.38
75,15.33
76,47.63
77,10.44
78,17.26
79,19.91
80,46.38
81,18.61
82,21.91
83,33.39
84,17.94
85,37.17
86,20.4
87,18.44
88,36.11
89,16.74
90,23.04
91,12.43
92,37.67
93,25.79
94,48.58
95,23.49
96,17.89
97,45.17
98,27.27
99,29.94
