task,cost
0,21.59
1,33.27
2,26.56
3,43.51
4,38.22
5,35.69
6,9.02
7,29.96
8,33.38
9,14.54
10,23.33
11,38.78
12,42.86
13,43.05
14,22.35
15,28.73
16,32.95
17,37.49
18,25.54
19,30.85
20,11.74
21,13.04
22,38.82
23,8.67
24,41.9
25,50.11
26,34.82
27,58.32
28,31.88
29,12.51
30,49.22
31,38.64
32,8.07
33,23.24
34,7.84
35,27.1
36,26.42
37,16.09
38,24.1
39,44.74
40,14.51
41,14.9
42,32.49
43,19.86
44,24.24
45,26.31
46,37.74
47,11.08
48,53.81
49,23.67
50,39.09
51,35.35
52,12.18
53,32.59
54,39.19
55,39.3
56,15.66
57,18.92
58,10.66
59,30.33
60,44.77
61,36.01
62,28.2
63,21.9
64,40.3
65,46.36
66,43.59
67,29.85
68,57.79
69,19.71
70,33.97
71,28.21
72,11.17
73,36.16
74,33.64
75,29.25
76,25.05
77,51.26
78,15.02
79,42.34
