src,dst,comm
0,15,5
0,97,6
1,75,8
1,96,1
2,54,8
2,24,9
3,62,6
3,59,1
3,51,7
3,93,1
4,20,9
5,85,6
5,32,2
5,40,4
5,49,9
6,12,7
6,78,8
7,9,3
7,31,5
8,77,1
8,86,2
8,17,2
9,10,5
9,63,3
10,93,4
10,62,10
10,48,7
10,86,3
11,48,3
11,52,9
11,81,1
12,38,4
12,49,2
12,75,10
13,19,5
14,59,4
14,27,5
15,39,9
15,95,1
15,94,2
15,75,3
16,34,6
16,70,8
16,26,4
17,86,10
17,47,5
17,48,9
17,42,10
18,26,4
18,78,6
18,61,5
19,56,8
19,73,3
20,63,5
20,33,10
21,34,1
21,60,6
21,40,1
21,61,7
22,56,2
23,72,1
23,91,8
24,72,3
24,27,10
25,72,4
25,30,5
26,51,4
26,74,4
27,83,3
27,28,6
27,88,1
27,68,10
28,66,2
28,46,3
28,57,10
29,32,9
29,96,4
30,71,8
30,78,1
30,60,10
30,33,6
31,88,2
31,32,5
32,80,4
32,63,1
33,79,9
34,71,2
34,55,1
34,56,6
35,44,4
35,72,5
36,95,1
36,52,3
37,96,1
38,98,6
38,66,2
38,53,4
38,49,3
39,63,7
39,82,2
39,68,4
39,65,6
40,98,5
40,69,4
41,78,4
42,95,4
42,91,4
42,88,8
42,99,10
43,70,9
43,54,4
43,92,2
43,83,1
44,60,6
44,95,9
45,95,7
45,65,5
45,60,2
45,53,4
46,79,2
46,48,8
46,85,4
46,75,4
47,65,2
47,93,2
47,70,7
47,84,9
48,96,9
48,97,9
48,60,3
48,90,7
49,81,8
49,64,1
50,95,8
51,72,6
51,86,9
52,54,10
52,97,7
52,88,8
53,56,7
54,97,7
54,91,8
55,99,9
56,83,3
56,90,6
57,84,3
57,79,8
58,87,10
58,82,8
58,98,4
59,89,9
60,72,2
60,71,7
60,78,10
61,66,3
61,98,3
61,80,7
62,88,7
63,96,2
63,78,4
64,86,4
64,73,10
64,87,5
64,65,9
65,97,3
65,95,4
65,72,5
66,81,6
66,96,7
66,88,2
67,92,10
67,83,1
67,75,9
67,79,6
68,77,8
68,84,1
68,91,3
68,88,2
69,87,7
69,94,1
69,85,5
69,81,4
70,84,9
70,74,9
71,91,9
71,76,10
72,75,10
72,85,6
73,96,9
73,85,9
73,90,4
73,74,10
74,78,10
75,79,3
75,92,4
75,84,8
76,78,6
76,95,10
76,96,1
77,97,9
77,83,9
77,91,2
78,88,5
78,93,8
78,97,10
78,90,10
79,87,8
79,90,9
80,87,10
80,88,5
80,82,8
81,98,7
82,99,7
82,97,1
82,96,2
82,83,5
83,88,8
83,84,3
84,99,6
84,96,5
84,89,2
84,88,3
85,91,5
85,98,7
86,98,4
87,88,4
87,94,3
87,90,3
87,89,8
88,91,3
88,92,3
88,96,10
88,90,8
89,91,7
89,97,9
89,95,9
89,94,3
90,98,7
90,99,1
90,94,9
90,93,8
91,93,3
92,94,4
92,93,9
93,95,10
93,96,2
94,98,8
95,98,8
95,97,5
95,96,2
95,99,5
96,97,1
96,98,6
96,99,6
97,99,9
97,98,1
98,99,7
