task,cost
0,39.37
1,36.02
2,11.88
3,52.09
4,33.74
5,31.67
6,31.48
7,40.16
8,12.04
9,13.46
10,20.43
11,16.74
12,42.04
13,49.35
14,28.13
15,18.74
16,26.47
17,25.87
18,41.16
19,8.99
20,52.86
21,36.67
22,18.97
23,38.97
24,37.48
25,40.65
26,34.76
27,24.86
28,43.66
29,31.23
30,40.25
31,13.46
32,28.71
33,18.1
34,13.87
35,25.08
36,12.19
37,48.83
38,28.71
39,19.41
40,18.55
41,32.97
42,44.01
43,31.52
44,18.21
45,34.5
46,20.74
47,33.63
48,42.39
49,16.08
50,41.6
51,11.78
52,16.08
53,37.02
54,47.38
55,45.21
56,16.82
57,40.28
58,12.71
59,16.72
60,32.88
61,40.36
62,37.74
63,36.84
64,36.31
65,27.64
66,39.86
67,46.81
68,22.84
69,37.75
70,38.5
71,28.74
72,29.52
73,39.97
74,48.17
75,15.02
76,30.58
77,18.17
78,12.41
79,33.29
80,44.25
81,28.99
82,23.48
83,12.01
84,21.61
85,9.63
86,40.9
87,52.02
88,42.2
89,30.05
90,11.56
91,28.59
92,32.12
93,15.44
94,29.36
95,22.38
96,25.88
97,30.47
98,15.31
99,31.69
