task,cost
0,41.52
1,47.45
2,21.06
3,23.89
4,36.72
5,32.63
6,42.52
7,9.86
8,31.38
9,33.07
10,28.36
11,27.81
12,31.98
13,20.76
14,23.81
15,15.66
16,24.1
17,15.45
18,43.28
19,29.88
20,27.96
21,55.18
22,42.46
23,25.56
24,25.17
25,39.23
26,29.55
27,14.29
28,20.04
29,21.4
30,40.31
31,28.04
32,8.44
33,25.13
34,47.44
35,17.62
36,22.4
37,24.08
38,51.32
39,15.26
40,34.18
41,38.68
42,12.01
43,42.67
44,23.86
45,12.99
46,26.12
47,29.22
48,24.7
49,42.67
50,34.46
51,37.74
52,21.62
53,50.5
54,24.69
55,47.06
56,32.33
57,30.66
58,20.3
59,50.77
60,14.74
61,39.15
62,43.99
63,45.68
64,39.74
65,21.07
66,49.77
67,34.96
68,42.42
69,41.15
70,28.45
71,25.7
72,13.9
73,37.96
74,30.64
75,44.75
76,40.5
77,49.02
78,41.41
79,18.96
