task,cost
0,21.6
1,14.01
2,13.91
3,18.63
4,15.03
5,17.97
6,20.88
7,32.04
8,45.24
9,41.89
10,25.66
11,13.61
12,10.21
13,19.54
14,39.87
15,26.22
16,38.23
17,37.59
18,48.04
19,14.71
20,22.33
21,39.55
22,29.76
23,49.37
24,48.01
25,19.67
26,39.02
27,23.76
28,12.47
29,19.92
30,40.06
31,43.81
32,46.21
33,25.07
34,34.05
35,40.89
36,21.65
37,25.92
38,55.99
39,16.88
40,35.37
41,21.37
42,37.27
43,44.61
44,32.18
45,42.0
46,45.71
47,25.12
48,51.03
49,25.48
50,38.88
51,13.82
52,32.31
53,47.99
54,35.58
55,55.03
56,47.4
57,30.23
58,36.77
59,45.43
60,28.71
61,39.9
62,36.96
63,20.68
64,16.1
65,21.73
66,44.38
67,24.74
68,18.79
69,11.31
70,22.2
71,44.89
72,46.29
73,28.21
74,37.83
75,38.02
76,16.54
77,40.75
78,20.46
79,46.03
