task,cost
0,27.52
1,14.54
2,19.3
3,28.09
4,29.81
5,29.85
6,36.58
7,45.7
8,15.4
9,55.2
10,45.32
11,19.8
12,14.55
13,36.13
14,21.02
15,38.46
16,21.87
17,44.29
18,17.0
19,27.67
20,28.72
21,36.4
22,56.56
23,54.4
24,31.2
25,15.61
26,24.88
27,24.34
28,47.59
29,55.29
30,9.96
31,13.22
32,12.83
33,39.02
34,33.98
35,37.69
36,22.37
37,26.8
38,42.68
39,22.6
40,29.24
41,17.2
42,33.38
43,30.29
44,34.56
45,29.93
46,17.01
47,34.73
48,22.7
49,21.49
50,24.21
51,25.72
52,11.61
53,13.4
54,19.21
55,32.25
56,52.89
57,34.29
58,21.74
59,33.91
60,36.83
61,14.22
62,38.21
63,41.77
64,35.09
65,32.27
66,34.11
67,14.84
68,20.41
69,58.62
