task,cost
0,29.58
1,15.6
2,44.98
3,8.79
4,22.81
5,44.3
6,21.72
7,36.33
8,52.33
9,13.86
10,30.6
11,22.52
12,34.33
13,35.61
14,34.88
15,25.74
16,30.31
17,42.3
18,19.97
19,35.16
20,21.1
21,19.77
22,34.13
23,28.07
24,23.97
25,21.02
26,20.49
27,12.77
28,32.17
29,25.03
30,21.22
31,41.4
32,11.3
33,16.3
34,33.01
35,30.65
36,32.77
37,14.11
38,19.91
39,17.43
40,48.58
41,19.38
42,28.17
43,30.94
44,15.91
45,54.3
46,42.91
47,24.92
48,21.01
49,57.61
50,46.54
51,35.92
52,22.25
53,32.86
54,47.58
55,29.59
56,43.4
57,47.73
58,53.29
59,25.96
60,30.63
61,20.04
62,14.78
63,19.88
64,24.15
65,16.83
66,31.11
67,38.83
68,23.87
69,9.31
