task,cost
0,21.94
1,23.7
2,48.98
3,20.62
4,18.73
5,19.66
6,31.68
7,22.62
8,44.36
9,9.61
10,22.06
11,38.44
12,12.37
13,23.01
14,20.6
15,37.24
16,38.68
17,32.75
18,49.42
19,9.99
20,40.14
21,18.09
22,26.41
23,35.22
24,44.96
25,22.36
26,37.12
27,33.98
28,14.91
29,47.51
30,40.92
31,32.42
32,35.99
33,35.23
34,13.3
35,21.48
36,17.34
37,22.67
38,34.65
39,43.68
40,24.54
41,24.7
42,13.75
43,23.5
44,9.82
45,39.72
46,18.17
47,48.25
48,35.8
49,46.65
50,17.93
51,33.2
52,28.95
53,26.26
54,20.34
55,49.85
56,21.18
57,26.6
58,42.22
59,25.97
60,60.26
61,47.03
62,52.11
63,13.44
64,36.77
65,23.14
66,36.0
67,36.49
68,36.87
69,12.03
70,53.24
71,22.17
72,34.06
73,37.6
74,18.58
75,25.68
76,12.41
77,36.45
78,49.1
79,47.97
