task,cost
0,9.23
1,23.26
2,44.96
3,19.88
4,28.08
5,10.48
6,17.95
7,29.88
8,46.89
9,39.76
10,54.49
11,14.68
12,27.7
13,35.93
14,20.87
15,26.74
16,15.22
17,48.77
18,19.56
19,34.67
20,45.99
21,38.41
22,40.41
23,19.16
24,34.67
25,24.53
26,11.27
27,15.6
28,35.51
29,10.61
30,41.11
31,34.89
32,15.86
33,24.17
34,13.62
35,45.35
36,33.83
37,40.31
38,32.64
39,13.49
40,21.61
41,41.02
42,32.04
43,26.76
44,37.34
45,9.61
46,18.89
47,27.05
48,31.86
49,41.09
50,19.21
51,47.16
52,23.13
53,32.12
54,21.47
55,52.39
56,10.41
57,18.23
58,25.27
59,22.94
60,15.99
61,17.22
62,19.77
63,19.9
64,34.23
65,37.86
66,46.08
67,20.28
68,23.05
69,54.18
70,10.82
71,38.09
72,8.57
73,26.94
74,25.66
75,31.1
76,23.4
77,37.75
78,45.3
79,32.59
80,52.65
81,25.88
82,22.54
83,29.66
84,20.82
85,39.46
86,14.84
87,22.25
88,13.6
89,39.29
