task,cost
0,10.17
1,19.2
2,23.44
3,38.72
4,38.92
5,13.55
6,15.79
7,28.75
8,48.22
9,12.45
10,19.58
11,16.64
12,43.26
13,35.52
14,39.92
15,32.78
16,39.41
17,45.45
18,13.75
19,29.0
20,10.05
21,14.42
22,35.85
23,26.34
24,24.98
25,14.14
26,27.13
27,39.31
28,49.44
29,37.05
30,31.35
31,38.18
32,53.68
33,26.72
34,62.15
35,36.66
36,36.8
37,18.36
38,27.49
39,24.91
40,33.03
41,25.88
42,32.05
43,30.64
44,61.88
45,28.36
46,15.15
47,32.2
48,14.72
49,41.41
50,26.09
51,31.05
52,38.58
53,33.99
54,29.16
55,17.89
56,40.05
57,20.25
58,15.26
59,27.26
60,25.51
61,29.7
62,42.04
63,46.85
64,46.74
65,18.54
66,25.58
67,23.41
68,30.16
69,21.54
70,14.75
71,44.48
72,8.32
73,35.19
74,12.56
75,23.93
76,12.28
77,13.06
78,16.93
79,43.45
80,24.71
81,54.76
82,21.31
83,46.96
84,10.82
85,54.12
86,34.13
87,19.79
88,42.74
89,24.99
90,36.2
91,32.9
92,43.84
93,59.19
94,38.32
95,14.89
96,20.44
97,42.93
98,18.56
99,15.98
