src,dst,comm
0,9,5
1,5,3
1,11,8
1,19,5
2,11,7
2,18,7
2,7,6
3,12,6
3,5,1
3,7,10
4,22,4
4,16,2
4,18,9
4,15,1
5,7,3
6,12,5
6,28,3
6,22,9
7,22,6
7,9,7
7,20,4
7,12,7
8,10,6
8,12,2
8,20,7
9,23,3
9,16,8
9,25,7
10,26,10
10,24,4
10,17,8
10,28,6
11,20,8
11,12,2
11,21,10
11,13,8
12,24,6
12,14,6
13,27,6
14,22,9
14,25,3
14,17,9
15,18,3
15,17,8
16,26,7
16,27,8
17,19,10
18,26,6
18,24,8
18,23,2
18,25,9
19,22,4
19,28,5
19,26,5
19,27,9
20,29,5
21,22,6
21,27,1
22,28,6
23,25,1
23,27,6
23,28,3
23,24,9
24,28,4
25,28,5
25,26,4
25,27,2
25,29,4
26,27,2
26,29,2
27,29,6
27,28,7
28,29,1
