task,cost
0,19.05
1,16.26
2,11.42
3,13.82
4,23.47
5,24.45
6,36.8
7,11.01
8,20.78
9,51.6
10,29.13
11,19.44
12,59.58
13,51.31
14,14.22
15,33.68
16,55.93
17,38.66
18,24.96
19,44.97
20,39.86
21,27.15
22,10.22
23,11.96
24,57.73
25,35.08
26,56.04
27,39.16
28,35.88
29,20.3
30,16.04
31,39.18
32,18.7
33,31.71
34,27.62
35,29.78
36,43.82
37,24.76
38,21.08
39,36.88
40,28.55
41,40.59
42,43.6
43,21.63
44,33.56
45,9.07
46,37.71
47,20.44
48,52.72
49,17.4
50,35.12
51,31.2
52,40.97
53,16.96
54,27.31
55,12.27
56,21.78
57,38.36
58,33.88
59,38.95
60,43.69
61,12.68
62,10.97
63,58.8
64,14.15
65,45.92
66,12.75
67,50.71
68,44.66
69,15.49
70,8.34
71,27.83
72,32.19
73,28.5
74,34.66
75,24.26
76,12.08
77,23.21
78,34.31
79,9.95
