task,cost
0,45.31
1,13.08
2,56.71
3,20.56
4,23.82
5,33.66
6,26.13
7,23.06
8,47.85
9,44.38
10,30.39
11,21.61
12,16.62
13,14.7
14,22.22
15,53.93
16,47.17
17,42.53
18,37.64
19,34.78
20,54.36
21,10.03
22,49.85
23,48.41
24,39.12
25,46.6
26,15.64
27,29.15
28,33.01
29,23.41
30,11.36
31,16.96
32,21.72
33,26.42
34,29.26
35,19.21
36,39.32
37,17.4
38,19.15
39,48.1
40,43.65
41,34.51
42,47.92
43,53.13
44,42.37
45,17.09
46,41.67
47,13.77
48,29.32
49,34.96
50,12.09
51,31.18
52,13.67
53,32.24
54,13.48
55,45.55
56,39.15
57,22.16
58,34.95
59,18.22
60,35.78
61,34.7
62,38.13
63,40.59
64,10.78
65,40.5
66,28.03
67,26.76
68,31.28
69,12.23
70,30.74
71,28.01
72,33.55
73,11.7
74,20.78
75,43.99
76,14.83
77,47.2
78,14.07
79,47.99
