task,cost
0,26.77
1,29.49
2,31.6
3,31.83
4,41.72
5,13.61
6,29.17
7,24.66
8,35.72
9,20.57
10,42.11
11,10.77
12,53.17
13,15.61
14,31.56
15,24.86
16,30.09
17,18.42
18,20.68
19,51.97
20,26.57
21,26.79
22,8.55
23,23.09
24,13.53
25,59.97
26,36.5
27,47.58
28,44.72
29,15.47
30,22.4
31,18.73
32,26.76
33,23.48
34,23.34
35,30.51
36,36.52
37,31.45
38,16.56
39,33.96
40,30.15
41,27.94
42,29.02
43,12.02
44,35.79
45,19.67
46,35.58
47,42.86
48,36.89
49,14.84
50,25.98
51,20.24
52,29.77
53,20.65
54,9.82
55,48.27
56,11.54
57,24.2
58,18.66
59,37.12
60,24.41
61,36.52
62,43.31
63,45.44
64,25.79
65,9.21
66,18.4
67,39.91
68,17.39
69,32.8
70,59.62
71,28.94
72,50.96
73,18.46
74,40.0
75,23.3
76,33.64
77,19.27
78,16.43
79,39.51
