src,dst,comm
0,52,6
1,27,8
1,62,9
1,33,1
2,26,6
3,50,10
3,37,3
3,43,3
3,31,10
4,42,6
4,27,5
5,27,8
5,50,2
6,54,7
6,73,9
7,50,4
8,46,5
9,74,10
10,57,1
10,60,10
10,56,9
11,60,6
11,67,1
12,18,6
12,76,6
12,73,7
12,39,2
13,74,9
13,23,7
13,46,8
14,66,4
14,27,8
14,70,5
14,15,3
15,72,8
16,41,4
16,36,6
16,50,9
17,51,3
17,41,6
17,30,5
17,78,3
18,45,3
18,70,5
18,19,9
19,77,10
20,37,7
21,77,1
21,73,3
21,28,6
21,66,1
22,66,2
23,68,1
24,63,2
24,28,7
24,49,5
24,78,3
25,64,8
26,46,9
26,42,1
26,31,1
26,35,9
27,56,10
27,63,3
27,34,3
27,38,4
28,61,9
28,29,9
28,33,5
28,39,4
29,38,2
29,30,7
29,53,1
29,64,5
30,69,7
30,75,8
31,51,3
31,70,5
32,69,4
32,65,9
32,79,9
32,34,8
33,73,3
33,50,2
34,57,10
34,72,8
34,39,5
34,40,6
35,68,8
36,70,8
37,65,3
37,61,4
37,69,1
38,71,1
39,56,3
39,57,5
39,76,1
39,66,1
40,71,6
40,48,4
40,66,7
41,57,1
42,60,5
43,63,7
43,51,2
43,65,9
43,48,8
44,64,3
44,68,5
45,48,1
45,66,8
46,59,10
46,63,6
46,53,2
47,59,9
47,49,1
47,63,3
47,52,9
48,76,5
48,58,5
49,55,7
49,72,2
49,65,7
49,69,7
50,57,3
51,56,4
51,73,7
51,61,9
51,69,6
52,63,8
52,65,5
52,64,7
53,66,5
53,77,8
53,64,4
54,66,7
54,71,9
54,75,4
55,79,8
55,78,3
56,77,6
56,73,10
56,69,4
57,59,6
58,64,2
58,72,6
59,61,10
59,76,1
60,63,9
60,66,10
61,70,6
61,63,10
61,65,7
62,76,8
62,71,5
62,70,2
63,74,9
63,70,4
64,74,7
65,77,8
65,68,6
65,67,7
65,69,5
66,75,2
66,71,8
67,74,3
67,71,9
68,71,6
69,72,1
69,71,10
69,76,3
69,77,6
70,79,3
70,75,7
70,71,1
70,74,1
71,74,1
71,77,10
72,74,1
72,79,3
72,73,1
73,75,6
73,77,9
74,78,1
75,79,7
75,78,6
75,76,8
76,77,3
76,79,2
77,79,6
77,78,9
78,79,2
