task,cost
0,33.67
1,32.03
2,52.13
3,34.57
4,19.15
5,50.24
6,15.69
7,28.18
8,38.81
9,45.29
10,42.53
11,27.19
12,46.55
13,12.99
14,24.96
15,29.91
16,29.04
17,29.42
18,22.78
19,25.9
20,60.24
21,44.53
22,20.59
23,35.72
24,51.97
25,34.95
26,32.91
27,23.04
28,23.74
29,31.46
30,27.26
31,45.97
32,17.05
33,14.11
34,20.28
35,15.85
36,19.88
37,19.98
38,23.54
39,25.53
40,32.95
41,38.38
42,45.3
43,11.61
44,16.97
45,52.7
46,22.47
47,15.2
48,34.14
49,27.07
50,15.73
51,21.52
52,14.27
53,18.66
54,28.89
55,35.74
56,25.96
57,23.98
58,35.25
59,53.52
60,33.07
61,9.09
62,31.65
63,38.02
64,20.72
65,13.88
66,36.04
67,24.69
68,16.54
69,14.19
70,35.91
71,51.16
72,48.88
73,34.38
74,48.53
75,11.05
76,13.02
77,18.81
78,17.31
79,32.83
80,37.23
81,38.42
82,43.68
83,17.04
84,15.95
85,35.55
86,29.11
87,25.09
88,39.06
89,30.14
