task,cost
0,28.45
1,18.82
2,30.17
3,51.85
4,38.37
5,12.6
6,18.51
7,27.99
8,9.28
9,43.57
10,17.94
11,47.21
12,41.61
13,11.26
14,22.72
15,36.98
16,24.35
17,10.85
18,37.25
19,25.87
20,29.68
21,16.71
22,43.54
23,46.59
24,47.63
25,18.2
26,13.09
27,28.7
28,25.14
29,42.04
30,38.46
31,13.74
32,14.6
33,34.8
34,43.67
35,48.39
36,8.28
37,18.12
38,40.6
39,25.43
40,17.15
41,30.85
42,46.5
43,12.86
44,19.48
45,45.1
46,48.15
47,51.58
48,16.37
49,35.1
50,37.54
51,28.93
52,33.6
53,55.22
54,14.62
55,23.03
56,19.61
57,15.58
58,18.48
59,14.77
