task,cost
0,28.9
1,15.99
2,11.7
3,18.04
4,49.28
5,11.74
6,30.73
7,19.73
8,30.74
9,13.38
10,8.27
11,14.19
12,13.51
13,9.69
14,34.53
15,10.23
16,16.78
17,32.41
18,15.87
19,47.64
20,46.81
21,16.79
22,35.25
23,25.19
24,42.63
25,15.15
26,38.4
27,34.7
28,44.5
29,34.81
30,22.88
31,30.49
32,17.8
33,18.21
34,22.6
35,16.83
36,21.55
37,40.01
38,25.88
39,29.21
40,9.6
41,20.96
42,9.88
43,21.88
44,36.74
45,37.76
46,22.18
47,54.69
48,22.11
49,9.02
50,44.68
51,10.27
52,21.71
53,40.78
54,18.16
55,20.26
56,47.72
57,32.0
58,33.39
59,41.39
