src,dst,comm
0,6,6
0,15,3
1,75,3
1,55,4
1,76,10
1,4,2
2,63,8
3,72,10
3,63,1
3,61,2
3,12,1
4,23,9
4,14,7
4,24,7
4,25,2
5,9,1
5,34,2
5,74,7
5,66,3
6,31,9
7,23,4
7,50,10
7,32,8
7,77,1
8,53,8
8,49,2
8,62,2
9,61,1
9,68,4
9,59,7
10,53,8
10,75,1
11,39,1
11,30,6
11,27,3
11,21,9
12,29,3
12,66,5
12,65,3
12,72,10
13,65,3
13,62,7
14,38,7
14,68,8
14,57,7
15,22,4
15,36,10
15,69,4
16,51,7
16,75,1
16,65,1
16,68,9
17,75,3
17,35,7
18,63,7
18,61,10
19,64,10
19,52,3
20,23,10
20,60,3
20,59,7
21,56,8
21,25,1
22,54,3
22,50,5
23,35,10
23,25,2
23,45,8
24,64,9
24,39,8
24,61,9
24,42,8
25,58,4
26,35,6
26,77,6
27,30,10
28,61,2
28,47,6
28,51,1
28,69,9
29,63,6
30,71,3
30,78,5
31,61,1
31,62,10
32,54,3
32,46,4
33,61,5
33,41,6
33,72,5
33,57,8
34,70,7
34,42,9
34,50,7
34,79,2
35,65,3
35,78,2
35,54,2
35,68,5
36,63,9
36,40,3
36,61,3
37,62,1
37,38,5
37,77,10
37,79,2
38,66,5
38,60,4
38,42,7
39,78,2
40,49,9
41,51,10
41,43,6
42,50,9
42,65,2
43,50,1
43,49,10
43,61,6
43,60,1
44,62,9
44,63,8
44,66,4
45,59,7
45,78,1
46,77,1
46,68,9
46,53,2
46,55,2
47,63,5
47,52,3
47,54,3
48,59,2
48,51,2
48,74,1
49,71,1
49,74,8
49,65,1
50,74,8
50,54,1
50,65,2
51,77,7
51,69,6
52,79,7
52,60,10
52,70,6
53,77,5
54,70,8
54,58,3
54,76,1
55,75,3
55,71,2
55,69,4
55,68,8
56,61,1
56,70,6
56,73,8
56,60,2
57,62,7
57,70,7
58,71,5
58,67,9
59,61,6
59,62,7
59,67,2
59,65,10
60,62,5
61,76,7
61,73,8
61,74,10
61,67,5
62,76,4
62,70,9
62,65,4
63,69,1
63,79,9
64,70,9
64,77,1
65,72,3
65,70,8
65,77,9
65,67,1
66,72,1
66,77,8
66,71,8
67,79,4
67,72,2
67,74,1
67,78,2
68,73,4
68,72,6
68,74,1
68,78,2
69,71,7
69,76,1
70,76,9
70,74,9
71,75,3
72,77,6
72,74,7
72,75,1
73,79,7
73,77,9
74,77,10
74,78,6
75,78,1
75,79,10
75,76,9
76,77,7
76,79,1
76,78,2
77,78,10
77,79,9
78,79,3
