task,cost
0,33.38
1,21.01
2,14.26
3,36.18
4,36.06
5,27.9
6,26.61
7,28.17
8,37.28
9,49.22
10,9.39
11,40.23
12,31.08
13,16.9
14,42.29
15,41.1
16,46.68
17,16.58
18,13.65
19,26.01
20,44.49
21,21.68
22,38.43
23,36.65
24,33.6
25,28.24
26,25.0
27,28.11
28,25.69
29,28.78
30,40.46
31,19.81
32,21.39
33,12.64
34,34.02
35,32.31
36,19.98
37,35.44
38,29.73
39,18.31
40,9.75
41,13.27
42,15.51
43,32.81
44,45.25
45,27.34
46,12.79
47,37.24
48,42.81
49,28.2
50,21.24
51,32.23
52,47.96
53,22.77
54,22.37
55,13.67
56,19.83
57,59.64
58,23.24
59,9.13
60,10.14
61,12.57
62,29.84
63,15.93
64,13.08
65,16.96
66,10.18
67,36.23
68,14.8
69,38.03
70,37.72
71,36.27
72,12.49
73,37.01
74,34.71
75,13.02
76,11.98
77,20.65
78,11.42
79,51.74
80,23.86
81,35.1
82,36.22
83,40.52
84,54.98
85,23.01
86,31.07
87,10.72
88,15.69
89,56.11
90,20.51
91,22.24
92,53.8
93,28.64
94,38.68
95,33.33
96,48.74
97,33.13
98,21.46
99,16.73
