src,dst,comm
0,16,10
0,56,5
0,58,1
0,4,10
1,24,10
2,57,7
3,45,8
3,37,9
3,15,3
3,11,10
4,31,9
4,53,1
5,22,8
5,34,9
6,53,2
6,45,2
6,40,4
7,48,5
7,50,9
8,23,3
8,22,10
8,46,2
9,56,4
10,49,1
10,15,10
10,32,9
10,52,1
11,28,4
11,46,1
11,44,5
12,52,3
12,13,1
13,38,9
13,14,9
14,24,9
14,42,6
14,35,3
14,39,6
15,57,3
15,46,5
15,31,6
16,25,1
16,32,4
16,45,10
17,21,10
17,47,7
18,46,9
18,21,9
19,42,6
20,54,8
20,31,4
21,28,7
21,42,10
22,49,10
22,55,1
22,45,10
22,42,10
23,54,7
23,43,10
24,47,8
24,35,2
24,48,2
25,48,2
25,52,2
25,27,9
26,46,9
27,41,5
28,52,4
28,54,6
29,34,1
29,58,8
29,30,10
29,43,3
30,31,1
30,42,6
30,45,2
30,50,8
31,45,1
31,36,9
31,48,8
32,43,5
32,50,7
32,36,2
32,47,9
33,50,1
33,39,8
34,45,1
34,47,8
35,53,6
35,48,2
35,42,5
35,55,6
36,55,1
36,56,5
36,54,2
36,38,3
37,55,6
37,48,4
38,52,2
38,56,3
38,58,9
39,50,1
39,54,10
39,40,10
40,58,5
40,52,7
41,50,9
41,48,2
41,56,8
41,53,2
42,46,9
42,43,2
42,44,9
42,45,8
43,47,1
44,59,8
44,46,8
44,53,4
44,49,5
45,46,7
45,52,3
45,53,8
45,54,8
46,48,10
46,51,3
47,58,7
47,53,1
47,51,1
48,55,10
49,56,5
49,59,4
49,57,8
49,53,8
50,59,3
50,54,7
50,56,3
50,58,4
51,57,2
52,58,8
52,54,5
52,57,5
52,56,2
53,56,4
53,58,10
53,55,1
53,54,10
54,59,3
54,56,4
54,57,7
54,58,3
55,58,2
56,57,6
56,59,6
56,58,6
57,58,9
57,59,3
58,59,3
