task,cost
0,25.23
1,18.95
2,56.74
3,13.39
4,11.35
5,38.52
6,9.13
7,15.13
8,31.29
9,49.2
10,40.93
11,31.13
12,17.89
13,15.38
14,18.41
15,38.02
16,37.53
17,20.08
18,53.23
19,48.83
20,50.57
21,26.33
22,48.39
23,37.76
24,35.87
25,35.66
26,32.65
27,17.89
28,36.2
29,26.64
30,18.32
31,39.88
32,12.93
33,28.96
34,43.83
35,43.86
36,41.9
37,42.65
38,36.2
39,21.66
40,49.55
41,18.27
42,40.65
43,11.74
44,38.66
45,26.0
46,36.38
47,29.96
48,27.43
49,25.74
50,18.8
51,8.58
52,44.75
53,37.52
54,30.52
55,41.05
56,29.61
57,39.99
58,15.49
59,9.03
60,28.64
61,38.28
62,8.27
63,21.3
64,13.53
65,36.6
66,37.4
67,24.58
68,57.23
69,35.33
70,15.64
71,54.06
72,17.55
73,45.9
74,9.09
75,50.62
76,22.45
77,44.04
78,33.54
79,17.76
80,9.83
81,59.26
82,16.58
83,36.54
84,34.98
85,34.98
86,32.92
87,44.31
88,20.18
89,10.93
90,26.38
91,10.64
92,18.16
93,33.11
94,9.33
95,25.48
96,25.7
97,17.5
98,24.25
99,39.64
