task,cost
0,37.84
1,50.47
2,20.23
3,38.52
4,50.41
5,22.51
6,32.33
7,24.12
8,16.94
9,38.28
10,25.08
11,24.82
12,25.5
13,56.93
14,46.57
15,33.35
16,15.29
17,22.18
18,53.99
19,28.42
20,53.69
21,27.99
22,39.48
23,56.06
24,30.46
25,53.25
26,28.77
27,19.17
28,20.53
29,46.91
30,37.88
31,24.6
32,37.89
33,30.29
34,33.27
35,18.09
36,26.17
37,18.12
38,32.36
39,10.23
40,15.98
41,20.97
42,12.69
43,25.07
44,28.74
45,42.89
46,18.08
47,26.17
48,44.42
49,38.22
50,38.23
51,34.54
52,12.38
53,10.4
54,31.09
55,33.38
56,8.59
57,31.79
58,22.92
59,11.57
60,30.74
61,16.23
62,13.81
63,41.35
64,9.95
65,29.16
66,52.62
67,35.44
68,22.38
69,57.25
