task,cost
0,27.84
1,15.98
2,35.12
3,19.14
4,29.28
5,44.88
6,9.78
7,28.21
8,41.25
9,27.24
10,10.59
11,19.58
12,43.68
13,10.55
14,40.23
15,26.04
16,18.49
17,42.54
18,13.11
19,40.21
20,41.17
21,47.97
22,40.25
23,40.52
24,35.87
25,51.75
26,22.91
27,55.47
28,13.37
29,32.56
30,28.08
31,21.56
32,26.72
33,9.71
34,20.91
35,30.01
36,45.29
37,13.71
38,41.03
39,12.74
40,30.91
41,31.49
42,48.56
43,10.38
44,14.46
45,22.45
46,39.72
47,29.6
48,35.78
49,35.63
50,8.61
51,40.89
52,37.34
53,33.76
54,29.7
55,24.42
56,32.54
57,32.45
58,53.1
59,33.54
60,8.97
61,40.51
62,16.29
63,34.94
64,14.82
65,46.71
66,50.55
67,45.67
68,36.69
69,45.74
70,35.2
71,49.57
72,22.79
73,39.32
74,43.85
75,11.27
76,36.99
77,18.47
78,30.93
79,10.74
80,24.69
81,16.63
82,14.3
83,44.87
84,11.83
85,10.87
86,48.97
87,22.2
88,16.08
89,20.41
