task,cost
0,53.55
1,39.86
2,42.65
3,18.08
4,39.08
5,29.76
6,31.44
7,45.27
8,12.6
9,9.12
10,36.62
11,10.89
12,28.81
13,16.59
14,52.51
15,18.1
16,42.18
17,32.33
18,31.7
19,38.97
20,36.06
21,29.49
22,43.84
23,8.05
24,49.91
25,11.34
26,25.85
27,47.36
28,19.38
29,29.74
30,14.72
31,22.17
32,40.67
33,39.5
34,44.28
35,14.02
36,39.1
37,41.82
38,15.98
39,19.94
40,21.19
41,39.0
42,43.5
43,43.04
44,31.29
45,16.77
46,36.78
47,33.08
48,20.26
49,32.05
50,47.5
51,41.24
52,19.67
53,25.18
54,27.87
55,36.97
56,45.31
57,37.2
58,14.3
59,22.39
