task,cost
0,32.09
1,12.3
2,21.96
3,12.25
4,52.2
5,40.58
6,16.96
7,10.79
8,17.06
9,26.31
10,25.22
11,35.27
12,17.56
13,33.64
14,37.31
15,34.92
16,42.64
17,15.38
18,45.17
19,15.72
20,43.75
21,59.19
22,9.15
23,49.18
24,14.04
25,19.32
26,17.64
27,49.27
28,25.79
29,19.84
30,37.87
31,57.27
32,32.14
33,11.09
34,34.38
35,21.28
36,21.75
37,47.05
38,33.42
39,15.13
40,22.6
41,28.97
42,18.47
43,39.89
44,35.26
45,18.63
46,37.82
47,38.26
48,15.76
49,17.92
50,23.89
51,36.46
52,42.69
53,42.07
54,28.41
55,23.29
56,58.24
57,22.34
58,19.48
59,11.18
60,43.69
61,14.87
62,29.52
63,20.74
64,36.6
65,22.16
66,14.98
67,41.56
68,45.35
69,29.75
70,14.79
71,32.09
72,17.99
73,14.47
74,12.76
75,31.87
76,49.61
77,29.39
78,13.54
79,32.75
