task,cost
0,45.95
1,49.37
2,25.96
3,20.13
4,20.34
5,51.41
6,40.45
7,12.06
8,34.86
9,27.56
10,17.54
11,56.22
12,14.9
13,21.4
14,38.84
15,48.54
16,16.44
17,25.8
18,12.77
19,40.75
20,49.34
21,21.46
22,16.16
23,13.32
24,54.52
25,46.26
26,35.57
27,25.43
28,25.3
29,51.65
30,51.33
31,33.72
32,27.08
33,28.94
34,45.12
35,18.66
36,49.09
37,50.73
38,29.25
39,31.52
40,17.7
41,35.36
42,30.18
43,32.77
44,47.73
45,43.95
46,61.69
47,9.2
48,17.31
49,46.54
50,37.05
51,46.89
52,9.99
53,27.71
54,10.57
55,40.27
56,33.52
57,14.29
58,8.45
59,28.73
