src,dst,comm
0,52,10
1,33,9
1,85,5
2,58,9
3,60,3
3,56,8
4,12,3
4,46,6
5,39,4
6,50,10
6,64,7
6,44,5
6,28,8
7,84,5
7,49,3
7,51,4
7,54,1
8,52,3
8,60,8
9,69,5
9,18,5
9,62,7
9,63,7
10,69,5
11,79,6
11,70,4
11,21,6
12,25,7
12,85,10
13,44,7
14,66,8
14,28,2
15,75,1
16,48,7
17,74,1
17,68,4
17,89,5
17,73,3
18,33,7
18,26,10
18,79,10
19,66,9
20,34,2
20,74,1
20,87,1
20,49,10
21,87,10
21,56,10
21,79,9
22,29,1
22,35,3
22,82,8
23,45,10
24,61,7
24,79,4
25,51,2
25,71,7
25,68,9
26,44,4
26,72,8
26,65,8
27,49,4
27,65,3
27,88,3
28,86,8
29,49,3
29,71,2
29,48,7
29,73,3
30,56,8
31,82,4
31,35,6
31,75,1
32,48,3
32,35,1
32,74,1
32,78,8
33,77,1
34,74,1
35,67,8
35,51,3
35,57,1
35,81,6
36,66,1
36,83,9
36,52,7
36,55,2
37,82,6
37,70,1
37,39,4
38,76,4
38,65,5
39,80,10
39,58,1
40,48,7
40,77,6
40,49,10
40,42,7
41,45,9
41,86,6
41,72,6
42,67,2
42,44,3
42,65,4
42,48,10
43,44,6
43,70,3
44,77,5
44,47,3
44,83,4
45,56,1
45,71,7
45,72,2
45,79,4
46,59,1
46,70,9
46,82,9
47,75,4
47,50,9
48,59,5
48,80,4
49,51,1
49,73,9
50,80,8
50,74,8
50,51,5
51,74,7
51,64,1
51,70,10
52,54,6
53,63,2
53,86,7
53,64,1
53,87,10
54,83,9
55,58,5
55,82,9
55,83,10
55,66,4
56,68,5
56,60,8
56,88,9
57,59,5
57,79,4
58,61,2
59,70,7
59,89,3
59,73,1
59,68,9
60,69,3
60,71,6
61,66,1
61,81,7
62,84,5
62,71,8
62,89,9
62,86,10
63,75,1
64,87,9
64,71,9
65,69,1
66,89,3
66,87,4
66,82,3
66,78,1
67,68,5
67,72,7
67,84,1
67,83,8
68,78,1
68,87,2
68,72,1
68,80,4
69,88,3
69,80,9
69,75,7
70,79,7
71,75,7
71,82,9
71,76,4
72,85,5
73,82,2
73,83,7
73,86,10
73,75,9
74,78,7
74,75,2
74,83,10
74,88,8
75,76,2
76,78,10
76,80,1
76,81,1
77,89,2
77,86,6
77,85,5
78,80,3
79,82,10
79,80,2
80,89,1
81,85,2
81,88,5
81,84,5
81,82,7
82,85,10
82,86,2
83,89,10
84,85,5
85,88,1
85,86,3
85,89,5
86,88,3
87,88,1
87,89,1
88,89,5
