task,cost
0,39.27
1,40.7
2,50.05
3,58.84
4,34.82
5,19.19
6,21.63
7,30.12
8,43.74
9,22.97
10,36.28
11,26.19
12,38.2
13,13.39
14,26.02
15,13.51
16,33.23
17,13.8
18,28.94
19,26.78
20,14.72
21,16.77
22,51.84
23,31.17
24,25.25
25,29.09
26,26.69
27,60.11
28,12.39
29,28.39
30,54.28
31,53.91
32,43.24
33,28.99
34,34.52
35,29.69
36,45.21
37,46.95
38,25.96
39,14.12
40,50.92
41,36.47
42,53.34
43,35.4
44,55.64
45,12.79
46,20.53
47,43.49
48,9.33
49,33.67
50,18.72
51,34.63
52,30.88
53,30.03
54,28.18
55,34.92
56,14.43
57,30.25
58,36.48
59,52.21
60,25.01
61,44.39
62,36.81
63,22.43
64,32.24
65,42.38
66,35.05
67,12.63
68,22.81
69,32.61
