task,cost
0,43.64
1,51.48
2,35.41
3,17.26
4,10.99
5,28.25
6,16.12
7,23.63
8,22.71
9,46.06
10,22.92
11,30.38
12,13.62
13,25.45
14,16.95
15,33.23
16,15.74
17,45.66
18,38.56
19,32.58
20,44.37
21,51.91
22,29.26
23,14.7
24,12.06
25,17.92
26,14.0
27,41.91
28,29.66
29,38.13
30,22.33
31,24.79
32,31.14
33,12.84
34,27.02
35,35.93
36,13.02
37,10.21
38,23.08
39,7.71
40,51.37
41,42.8
42,20.59
43,37.44
44,26.36
45,9.61
46,23.44
47,13.03
48,25.47
49,11.8
50,26.81
51,23.41
52,17.35
53,34.43
54,31.74
55,13.42
56,43.51
57,46.24
58,33.63
59,16.86
60,12.98
61,48.52
62,38.98
63,14.31
64,8.77
65,28.51
66,37.46
67,12.02
68,16.5
69,53.6
70,12.75
71,24.51
72,9.62
73,29.74
74,36.98
75,12.22
76,39.96
77,44.7
78,13.04
79,34.62
80,50.15
81,45.6
82,40.42
83,11.9
84,30.81
85,10.45
86,27.54
87,24.73
88,59.72
89,21.4
