task,cost
0,45.8
1,30.92
2,12.1
3,27.17
4,8.26
5,50.08
6,16.43
7,31.05
8,47.48
9,22.76
10,53.63
11,15.15
12,43.01
13,18.99
14,21.06
15,46.06
16,38.67
17,12.95
18,53.95
19,17.55
20,19.56
21,25.27
22,42.57
23,17.36
24,43.67
25,11.27
26,44.58
27,22.57
28,19.84
29,37.89
30,15.6
31,22.39
32,22.81
33,39.23
34,26.39
35,36.05
36,26.79
37,10.26
38,31.55
39,38.35
40,30.32
41,25.46
42,18.91
43,38.55
44,23.35
45,10.32
46,8.38
47,26.03
48,30.08
49,38.43
50,24.78
51,49.49
52,14.13
53,57.5
54,16.6
55,30.98
56,50.99
57,14.92
58,48.57
59,25.15
