src,dst,comm
0,9,10
0,45,2
0,5,9
1,37,1
2,25,8
2,57,6
2,43,2
3,23,1
4,9,6
4,40,9
4,5,9
4,35,5
5,11,1
5,20,5
5,41,5
6,25,1
6,45,7
6,20,7
6,42,1
7,54,3
8,34,10
8,41,7
9,28,2
9,38,5
9,33,8
9,37,9
10,34,7
11,45,2
11,56,6
12,17,2
12,56,1
13,32,2
14,30,3
14,57,10
14,33,1
15,56,10
15,26,6
16,57,4
16,36,5
16,22,1
16,53,3
17,39,5
17,22,1
17,48,7
18,24,2
19,24,8
19,29,4
19,22,3
19,50,2
20,43,1
20,38,8
20,57,2
20,28,10
21,53,8
21,54,8
21,43,8
22,47,8
23,48,8
23,53,2
24,39,8
24,53,9
24,59,8
24,31,9
25,40,9
25,53,1
25,47,7
26,32,4
26,27,5
27,44,10
27,29,10
27,58,6
27,42,8
28,38,7
28,37,10
28,46,9
29,55,4
29,41,9
29,44,8
29,38,7
30,46,2
30,42,4
31,39,2
31,56,9
32,44,8
32,52,5
33,48,7
33,36,7
33,56,3
34,54,5
35,57,1
36,40,6
36,43,5
36,53,7
37,46,6
37,53,8
38,45,10
38,53,10
38,55,4
39,40,1
39,49,8
39,52,4
40,52,9
40,41,8
40,46,8
41,58,6
41,57,3
41,59,4
42,59,5
43,53,4
44,52,10
44,57,10
44,47,8
44,55,7
45,58,2
45,55,4
46,48,3
47,57,7
48,59,10
49,59,8
49,51,10
49,58,2
49,54,5
50,51,8
50,56,3
51,56,4
51,57,5
51,55,9
51,58,3
52,54,4
52,53,8
53,55,6
53,54,2
54,55,9
54,59,1
54,58,6
54,56,4
55,58,9
56,59,2
56,57,7
56,58,8
57,59,3
58,59,6
