task,cost
0,20.73
1,27.54
2,20.33
3,15.19
4,20.16
5,33.52
6,10.74
7,20.64
8,38.67
9,17.62
10,19.47
11,15.4
12,43.59
13,37.83
14,23.62
15,20.21
16,34.9
17,29.74
18,42.91
19,43.38
20,46.89
21,21.92
22,26.15
23,36.09
24,15.15
25,52.47
26,20.8
27,11.49
28,24.7
29,24.85
30,52.85
31,44.81
32,20.56
33,15.6
34,39.36
35,18.06
36,36.02
37,16.21
38,11.35
39,25.07
40,17.12
41,17.57
42,34.24
43,37.74
44,22.97
45,14.75
46,29.34
47,23.02
48,39.12
49,58.51
50,34.76
51,18.91
52,57.19
53,24.86
54,28.03
55,18.79
56,18.79
57,37.4
58,15.88
59,36.31
60,23.33
61,27.04
62,20.92
63,12.02
64,27.34
65,12.72
66,38.5
67,21.95
68,37.37
69,9.29
70,15.96
71,10.77
72,12.94
73,22.95
74,38.82
75,27.65
76,38.73
77,15.97
78,48.11
79,17.39
80,16.24
81,47.76
82,13.89
83,57.07
84,29.72
85,33.66
86,14.74
87,47.01
88,38.26
89,27.81
90,44.36
91,12.94
92,39.97
93,16.57
94,34.66
95,40.64
96,31.1
97,30.22
98,39.56
99,9.8
