task,cost
0,15.96
1,43.07
2,41.8
3,27.41
4,14.83
5,25.34
6,22.81
7,15.35
8,14.59
9,13.9
10,46.9
11,42.05
12,42.49
13,13.18
14,31.84
15,9.48
16,42.11
17,28.0
18,16.15
19,34.04
20,37.08
21,51.04
22,29.44
23,49.0
24,20.36
25,28.08
26,29.59
27,32.38
28,55.71
29,45.67
30,53.06
31,28.9
32,19.33
33,39.17
34,25.98
35,10.61
36,15.15
37,17.65
38,37.72
39,52.2
40,14.21
41,39.58
42,54.35
43,42.55
44,38.95
45,9.92
46,35.61
47,29.56
48,23.19
49,29.36
50,38.65
51,9.84
52,16.23
53,48.62
54,51.33
55,15.09
56,40.47
57,21.9
58,24.64
59,37.87
60,8.77
61,18.8
62,32.31
63,10.88
64,34.91
65,40.48
66,27.4
67,24.92
68,15.07
69,25.42
70,39.67
71,25.83
72,12.16
73,32.39
74,12.1
75,18.5
76,41.48
77,31.24
78,51.81
79,43.17
