src,dst,comm
0,1,4
0,59,5
0,54,4
0,41,7
1,8,3
1,28,7
2,24,4
2,12,10
2,45,1
2,3,7
3,14,2
3,56,4
4,26,1
4,34,6
4,52,6
4,35,8
5,16,10
6,31,6
6,9,1
7,36,4
7,16,9
7,10,6
7,17,3
8,50,1
8,48,5
8,24,2
9,47,6
10,39,3
10,47,5
10,17,6
11,48,8
11,29,5
12,16,1
12,22,8
13,34,6
13,49,8
14,41,4
14,54,1
14,56,9
14,17,6
15,32,1
15,41,9
16,48,2
17,40,9
17,56,4
18,19,8
18,36,6
19,28,6
19,31,3
20,48,3
20,39,3
20,26,3
21,24,7
21,38,10
21,34,2
21,35,10
22,45,8
22,32,9
23,42,4
23,46,3
23,47,2
24,58,1
25,41,10
25,57,9
25,37,1
26,33,9
26,56,2
27,49,7
27,40,10
28,49,1
28,38,2
28,43,9
28,39,8
29,30,1
30,38,8
31,43,10
32,43,5
32,45,8
32,46,1
32,51,1
33,41,4
33,50,1
33,42,9
34,57,7
34,37,9
34,49,3
35,38,10
36,38,7
36,59,1
36,49,8
36,48,3
37,58,8
37,53,7
37,59,9
38,56,7
38,54,10
39,47,10
39,57,4
40,45,4
41,51,2
41,55,9
42,47,7
42,43,1
42,51,6
43,47,6
43,50,10
43,52,1
44,46,7
44,57,1
44,59,9
44,52,6
45,53,10
46,56,9
46,51,2
46,48,5
47,57,2
48,55,5
48,56,7
48,53,3
48,50,7
49,51,8
49,57,10
49,50,9
49,59,1
50,57,10
51,54,1
51,58,3
52,59,8
53,54,8
54,56,6
55,58,5
55,56,9
56,57,10
56,59,5
57,58,10
57,59,5
58,59,4
