task,cost
0,9.66
1,16.01
2,38.15
3,22.1
4,29.13
5,46.29
6,41.1
7,30.37
8,37.7
9,53.4
10,41.14
11,23.34
12,40.59
13,33.83
14,40.83
15,33.79
16,48.13
17,15.59
18,21.05
19,23.87
20,21.89
21,60.9
22,34.84
23,44.65
24,35.53
25,30.86
26,26.67
27,58.06
28,27.96
29,43.05
30,22.81
31,15.77
32,25.97
33,28.14
34,41.58
35,42.08
36,38.81
37,26.24
38,16.69
39,59.43
40,28.63
41,24.76
42,29.85
43,13.62
44,56.32
45,15.7
46,12.04
47,33.53
48,49.48
49,9.28
50,22.94
51,13.14
52,52.99
53,32.22
54,38.16
55,23.81
56,30.42
57,19.5
58,26.0
59,35.12
