src,dst,comm
0,4,8
0,38,4
1,57,3
1,5,1
1,29,6
1,43,1
2,43,8
2,36,10
3,33,7
3,21,2
4,42,4
5,43,6
6,20,1
7,36,10
7,11,5
7,8,8
7,53,2
8,34,7
9,20,2
9,53,7
9,44,7
10,28,7
10,36,7
11,50,8
12,26,9
12,43,8
13,37,6
13,43,8
13,18,6
13,48,2
14,24,5
14,42,3
14,29,10
15,19,3
15,47,8
15,44,6
16,28,7
17,21,3
17,47,5
18,37,10
18,41,7
18,22,8
19,30,6
19,31,6
20,23,2
20,57,4
21,33,5
21,35,10
22,47,9
22,33,7
22,28,6
23,53,2
23,31,9
23,45,4
23,36,4
24,44,2
25,47,3
25,29,1
26,57,6
26,32,7
27,47,9
28,40,2
28,55,8
28,58,9
29,41,1
29,37,4
29,36,4
30,48,2
30,58,10
30,47,5
31,41,8
31,52,4
32,46,1
32,41,4
32,57,6
33,39,10
33,38,5
34,51,5
34,44,9
34,35,8
34,55,9
35,45,6
35,56,9
35,36,5
35,53,8
36,41,1
36,56,6
37,42,5
37,43,10
38,44,3
38,49,10
38,57,6
39,40,5
40,45,3
40,42,2
41,43,6
42,58,3
42,57,6
42,56,4
43,56,1
43,44,1
43,58,5
43,52,6
44,45,8
45,48,4
45,58,10
46,52,8
46,56,8
46,49,6
47,53,6
47,51,7
47,58,10
47,59,9
48,52,8
49,56,2
49,55,5
49,54,5
50,57,3
50,52,2
50,54,1
51,58,9
52,57,4
53,59,4
53,55,7
53,57,1
54,58,7
54,55,8
54,57,8
55,58,5
55,59,6
55,56,4
55,57,8
56,59,2
56,58,3
56,57,7
57,58,7
57,59,5
58,59,5
