task,cost
0,38.73
1,25.32
2,40.57
3,52.39
4,24.76
5,34.45
6,42.45
7,31.01
8,47.91
9,25.26
10,48.84
11,45.36
12,20.11
13,37.81
14,19.14
15,16.3
16,24.96
17,44.49
18,15.81
19,33.38
20,45.05
21,20.64
22,15.55
23,13.5
24,14.75
25,30.04
26,14.52
27,32.32
28,31.46
29,42.54
30,11.31
31,42.21
32,30.94
33,22.31
34,44.89
35,11.63
36,46.12
37,26.46
38,26.8
39,18.19
40,48.61
41,54.94
42,34.93
43,52.47
44,33.42
45,15.39
46,32.87
47,37.93
48,25.23
49,34.07
50,52.22
51,20.75
52,37.91
53,27.24
54,44.74
55,25.7
56,27.17
57,25.88
58,26.1
59,53.47
60,13.29
61,11.56
62,25.27
63,13.93
64,24.01
65,41.49
66,18.03
67,46.11
68,31.81
69,35.65
