task,cost
0,24.48
1,40.91
2,34.04
3,47.44
4,48.83
5,48.98
6,18.35
7,35.1
8,54.75
9,32.59
10,41.87
11,31.52
12,18.01
13,17.65
14,32.72
15,43.8
16,21.33
17,28.42
18,54.23
19,42.48
20,33.84
21,17.19
22,40.98
23,48.67
24,17.19
25,36.2
26,21.23
27,33.29
28,20.54
29,28.18
30,51.72
31,10.39
32,28.18
33,7.6
34,42.1
35,14.28
36,8.08
37,54.21
38,30.07
39,32.27
40,25.51
41,20.71
42,36.8
43,43.31
44,28.57
45,35.64
46,56.19
47,13.46
48,21.53
49,36.71
50,37.28
51,39.31
52,12.93
53,12.39
54,34.04
55,50.07
56,22.06
57,18.2
58,32.24
59,57.46
