task,cost
0,23.04
1,24.79
2,12.02
3,15.32
4,17.27
5,19.83
6,45.71
7,8.59
8,24.33
9,36.32
10,26.09
11,40.72
12,33.76
13,56.82
14,49.25
15,38.65
16,47.45
17,50.69
18,26.75
19,18.42
20,34.43
21,24.79
22,29.09
23,34.0
24,30.63
25,29.68
26,33.96
27,18.02
28,35.4
29,58.59
30,11.45
31,20.65
32,21.95
33,35.65
34,37.2
35,24.23
36,14.61
37,26.27
38,50.89
39,50.05
40,12.14
41,47.42
42,27.29
43,20.94
44,42.16
45,13.62
46,39.53
47,23.79
48,28.15
49,16.27
50,14.33
51,25.29
52,50.05
53,43.38
54,28.44
55,37.29
56,26.54
57,17.13
58,38.94
59,42.73
