task,cost
0,17.44
1,9.66
2,31.36
3,15.28
4,48.85
5,25.94
6,26.32
7,39.75
8,16.89
9,13.93
10,42.2
11,14.2
12,53.72
13,30.57
14,14.19
15,15.9
16,34.66
17,18.42
18,18.57
19,38.49
20,27.87
21,41.42
22,23.8
23,52.14
24,36.29
25,47.21
26,12.94
27,11.34
28,30.62
29,13.53
30,14.72
31,16.72
32,59.03
33,22.49
34,33.62
35,23.73
36,28.49
37,16.06
38,39.54
39,8.37
40,57.86
41,45.0
42,24.18
43,50.71
44,51.12
45,12.08
46,26.25
47,28.69
48,9.9
49,51.56
50,32.12
51,19.57
52,27.37
53,30.72
54,59.49
55,13.78
56,44.11
57,17.38
58,49.55
59,32.63
