src,dst,comm
0,43,7
1,58,6
1,63,5
2,69,1
2,70,10
3,70,5
3,4,3
3,17,5
3,19,5
4,39,8
4,62,8
4,64,9
4,26,8
5,34,2
5,12,10
6,24,9
6,53,8
6,47,4
6,29,6
7,10,4
7,49,3
7,57,3
7,27,4
8,36,3
8,53,8
9,62,2
9,55,3
10,27,1
10,65,2
10,38,7
11,43,1
12,58,7
12,37,1
12,57,2
13,39,5
13,24,3
13,60,4
13,53,1
14,23,9
14,26,7
15,37,10
15,54,1
15,29,3
15,40,2
16,44,6
16,51,10
17,61,8
17,21,8
18,43,10
19,35,2
19,76,2
20,27,2
20,22,2
20,78,9
21,51,5
22,41,7
22,66,10
23,25,4
23,51,7
23,77,3
23,56,7
24,47,4
24,65,9
24,27,1
24,68,3
25,34,4
25,73,1
25,27,7
26,52,1
26,27,10
27,73,3
27,51,1
28,52,2
28,51,4
28,54,5
28,77,10
29,63,8
29,30,10
29,53,7
30,55,5
30,60,5
31,76,10
31,68,1
31,57,4
31,64,4
32,62,3
33,40,8
34,56,8
34,64,8
35,60,4
35,73,1
35,43,3
36,72,8
36,64,6
37,53,6
37,57,6
38,52,1
38,43,1
38,60,7
39,52,3
40,65,8
40,76,7
40,58,7
40,61,7
41,62,6
41,70,2
41,68,2
41,69,7
42,72,9
43,61,4
43,50,4
43,60,9
43,56,1
44,45,4
44,56,1
44,53,1
45,55,8
45,72,3
45,54,7
46,53,9
46,68,4
46,70,4
46,61,2
47,68,1
47,51,5
47,74,10
47,58,10
48,64,1
48,70,6
48,55,9
49,55,5
49,72,5
49,64,8
49,71,1
50,53,10
50,73,2
51,52,8
51,66,2
51,53,4
51,67,5
52,59,7
52,65,2
52,75,4
52,55,8
53,62,5
53,64,9
53,65,8
53,75,2
54,77,5
54,71,10
54,66,1
55,59,9
55,63,4
55,66,6
56,58,1
56,72,8
56,73,2
56,77,2
57,65,2
57,76,2
58,62,2
58,72,10
58,73,10
59,75,6
59,67,9
59,63,2
60,65,2
60,61,2
61,63,10
61,64,10
62,78,3
63,64,7
63,77,10
64,76,2
64,71,2
64,73,4
65,71,1
65,78,4
66,78,10
66,73,5
66,77,4
67,78,1
67,76,7
67,75,2
68,73,5
68,72,2
68,78,10
68,69,1
69,75,9
70,76,6
70,71,3
71,75,7
71,74,7
72,73,8
72,76,3
72,79,9
73,74,7
74,78,6
74,79,1
74,77,6
74,75,8
75,77,7
76,77,3
76,79,3
76,78,5
77,78,7
77,79,5
78,79,10
