task,cost
0,21.73
1,14.54
2,13.38
3,14.43
4,35.38
5,59.76
6,30.78
7,52.01
8,22.23
9,22.94
10,39.75
11,39.39
12,39.94
13,28.66
14,20.84
15,35.42
16,19.94
17,11.16
18,33.23
19,27.76
20,43.75
21,25.54
22,36.87
23,30.77
24,12.0
25,21.53
26,29.8
27,30.54
28,37.77
29,48.99
30,37.61
31,41.87
32,25.99
33,14.97
34,39.77
35,25.11
36,35.22
37,26.14
38,35.11
39,24.56
40,24.98
41,36.26
42,26.17
43,8.55
44,24.59
45,34.85
46,12.36
47,13.81
48,34.44
49,11.02
50,24.25
51,31.64
52,38.11
53,21.16
54,29.01
55,9.66
56,49.85
57,27.57
58,31.73
59,40.09
60,30.31
61,35.45
62,24.57
63,17.92
64,19.63
65,14.7
66,42.77
67,46.51
68,23.52
69,37.69
70,24.09
71,24.49
72,10.31
73,24.43
74,48.06
75,58.43
76,33.69
77,37.05
78,35.33
79,19.69
80,12.59
81,28.02
82,33.37
83,17.33
84,49.19
85,29.57
86,40.73
87,53.47
88,34.06
89,49.03
90,24.07
91,57.36
92,12.45
93,22.15
94,23.24
95,56.09
96,54.96
97,41.18
98,42.98
99,40.83
