task,cost
0,43.36
1,15.67
2,27.91
3,11.31
4,51.76
5,23.72
6,27.12
7,16.17
8,43.36
9,41.95
10,28.94
11,28.45
12,38.44
13,40.68
14,51.62
15,8.27
16,45.16
17,34.12
18,28.4
19,28.78
20,19.22
21,9.45
22,19.83
23,19.53
24,13.3
25,34.01
26,11.45
27,24.77
28,31.45
29,26.48
30,23.6
31,54.56
32,35.87
33,32.14
34,22.76
35,52.45
36,21.1
37,39.09
38,40.26
39,22.09
40,51.81
41,21.72
42,32.91
43,15.72
44,14.51
45,20.69
46,47.54
47,24.44
48,29.82
49,15.23
50,28.87
51,30.71
52,58.01
53,10.84
54,29.91
55,36.53
56,10.37
57,20.63
58,44.15
59,25.24
