task,cost
0,23.75
1,30.64
2,13.46
3,42.02
4,36.1
5,16.32
6,28.73
7,15.45
8,32.53
9,11.7
10,36.19
11,35.99
12,27.16
13,43.36
14,36.05
15,38.85
16,21.27
17,37.48
18,22.26
19,12.88
20,42.75
21,37.61
22,30.8
23,20.62
24,43.47
25,30.18
26,32.8
27,44.67
28,16.09
29,21.51
30,21.59
31,19.9
32,11.49
33,26.55
34,42.94
35,28.27
36,14.37
37,16.59
38,11.79
39,12.21
40,11.3
41,48.36
42,27.59
43,15.96
44,21.44
45,41.85
46,30.12
47,20.05
48,40.03
49,50.57
50,25.55
51,14.34
52,44.49
53,26.56
54,20.93
55,51.02
56,47.15
57,45.46
58,37.75
59,31.66
